headword	definition
fa’a’ati	to surround, tour, close (a net)
fa’aea	to stop, stay, reserve
fa’a’eta’eta	tino athlete
fa’afa’aea	to stay, stop, remain, cease
fa’afa’aeara’a	holiday, stay
f'a’afaito	to weigh, make equal
fa’afarerei	to introduce
fa'afariu	to iert
fa’afatata	to bring near
fa’aha’amā	to shame
fa’ahanahana	to celebrate
fa’ahapa	to punish
fa’ahoro	to drive, iey
fa’ahorora’a	race
fa’ahou	again, once more
fa’a’i	to fill
fa’a’ino	to do evil
fa’aipoipo	to marry
fa’a’ite	to explain, tell
fa’a’itera’a	information
fa’amahu	to be patient
fa’amata’u	to terrify
fa’anaho	to organise, place
fa’anehenehe	to beautify, clean
fa’aoti	to end, conclude, finish
fa’arapu	to stir, mix
fa’arava’i	to increase
fa’ari’i	to receive, to accept, recipient
fa’ariro	to accept, to become
fa’aro’o	to listen to, to hear, to believe, religion
fa’atae	to import
fa’ata’i	to cause weeping
fa’ata’ira’a pū 	fanfare
fa’a tea!	 go away!
fa’ati’a	to agree, sink a pest
fa’atito	to pollenate
fa’atupu	to organise
fa’ehau	soldier
faito	to weigh
fanau	to be born, give birth
fanau’a	young ofanimals
Farair e 	Friday
farāne	franc
Farani	France, French
farāoa	bread
fare	house
fare’auri	prison
fare inura’a	bar, bistro
fare iti	toilet, W.C.
fare ha’api’ira’a	school
fare hau	town hall
fare ma‘i	hospital
fare moni 	bank
fare purera’a 	church
fare rata 	post office
fārerei	to meet, see, visit
fare	tāmā’ara’a restaurant
fare toa	shop
fatata	soon
fati	to be broken
faufa’a	gain, profit, worth
fefe	twisted
fefe	a boil
fe’i	red banana
feiā	group of people
feiā-porote	members ofa procession
feia-rave-pārau	pearl-shell merchants
feiā-tai’a	fishermen
fenua	ground, country, land
Fepuare	February
feruri	to think, reflect
feti’i	family
feti’a	star
fifi	to be in difficulties
fiu	to be weary, bored
ha’a-	prefix used with causative, verb, indicating “to cause to be done”, “to have something done”
ha’afaufau	to debase
ha’afefe	to bend
ha’afifi	to entangle
ha’afirifiri	to curl
ha’afiu	to bore
ha’amaheu	to discover
ha’amaita’i	to do good
ha’amana	to authorise
ha’amani’i	to spill
ha’amanina	to make level
ha’amaoro	to delay
ha’amaramarama	to enlighten, to explain, window
ha’amarari	to disperse
ha’amata	to state, commence
ha’amatara	to untie
ha’amau	to establish
ha’amaii’a	to waste
ha’ama’ue	to make fly
ha’amauiui	to inflict pain
ha’amaurūru	to thank, please
ha’amenemene	to make round
ha’am	i’cm i’o to crumple
ha’amo’e	to forget, lose
ha’apa’apa’a	to roast
ha’apapū	to level, assure
ha’aparari	to break, smash
ha’apau	to consume
ha’ape’ape’a	to annoy
ha’ape’epe’e	to hasten
ha’api’i	to learn
ha’apiha’a	to cause to boil
ha’apiha’e	to vomit
ha’apohe	to kill
ha’apo’i	to cover up
ha’apoto	to shorten
ha’apoupou	to applaud
ha’apuai	to exert strength
ha’apu’e	to gather together
ha’apupu	to class, classify
ha’apurara	to scatter
ha’aputa	to pierce
ha’aputu	to heap up, gather up
ha’ari	coconut
ha’avare	to tell lies
ha’avi	to punish
haere	to move, go
haere atu	to go
haere	mai to come
haerera’a	visit
hahaere	to go (pl)
halm	to shave, razor
hamani	to build, make
hamara	hammer
hapaina	glass
hape	mistake, to be wrong
hapono	to send, post
hapū	pregnant
haru	to seize
hau	government
haumi	wet, damp
ha’wie	to weave
ha’uti	to play, toy, game
hava’i	to put, deposit, send
haviti	beautiful
havitiviti	beautiful (pi.)
hei	garland, crown
hei-pūpū	shell necklace
hemo	to be surpassed, to pass
hepetoma	week
here	to love, sweetheart
hia	passive marker
hi’a	to slip, fall
himene	song, to sing
hina	great-grandchild
hina’aro	to want, like
hio	to whistle
hi’o	to observe, see, look at, glass, mirror
hi’ohi’o	to stare at
hitimahuta	to be startled, to start
hitu	seven
hivinau	kind of dance
hoa	friend
hoe	to paddle, row
ho’e	one, a, an
hō’e 'ahuru	ten
hō’e ’ahuru	ma hitu seventeen
hō’e ’ahuru ma ho’e 	eleven
hō’e ’ahuru ma iva	nineteen
hō’e ’ahuru ma maha	fourteen
hō’e ’ahuru maono	sixteen
hō’e ’ahuru ma pae 	fifteen
hō’e ’ahuru ma piti	twelve
hō’e ’ahuru ma toru 	thirteen
hō’e ’ahuru ma va’u	eighteen
hō’e hanere  	one hundred
hō’e hanere ma hō’e 	one hundred and one
hō’e tauatini 	one thousand
hoehoe	to row here and there
hoera’a-va’a	canoe race
hoho’a	photograph, image, likeness
hohoni	to bite
hohoro	to run (dl)
ho’i	to return, in fact
honu	turtle
ho’o	to sell
ho’o-haere	to shop
ho’o	mai to buy
hope’a	last, last born
hopoi	to send, carry
hopu	to dive, bathe
hora	time, hour
horo	to run
horo patete	patete passenger
horo’a	to give
horōi	to wash
horohorōi	to wash repeatedly
hotera	hotel
hotu	to produce, to bear fruit
hou	before
hu’a	small
huero	egg
hui	used respectfully of a group of esteemed people
hui	mana officials
hui ra’atira 	people
huru	subject, manner, way, method
huru ātea ātu	further away
huruhuru	body hair
hururau	different, diverse
huti	to pull up, pull
i	full, to fill
i’a	fish
’ia	to steal
’ia ora na	hello, greetings, goodbye
’ia vai?	to whom?
ihora	then
i hea?	 where?
ihoa	exactly, in fact
ihu	nose
‘i’ita	pawpaw
‘iita 'otāne	male pawpaw
‘iita ’ovahine	female pawpaw
'imi	to gather, collect, look for
i mua mai	 in front of
i muri iho 	after that, next
i muri mai 	behind
i muta’a ihora	at that time, formerly
i muta’a iho 	formerly
’ina‘i	meat
inanahi	yesterday
’inanahi atura 	the day before yesterday
i napō	last night
ineine	to prepare
i ni’a 	on
’ino	bad
inu	to drink
inuinura’a	drink, toast
i’oa	name
’iore	rat
i ō vai? 	at whose place?
i piha’i iho 	beside
i raro	at the bottom, down
i rapae	outside
i/i	skin
’iria	to be angry, angry
’iriti	to translate
i ropu 	in the middle
i roto	into, in, inside
i rotopu	among
’ite	to see, to know, to find, to understand, wise
i tai 	towards the sea
i teie āhiāhi 	this afternoon
i teie nei 	now
i teie nei mahana	today
i teie pō	this evening
i teie po’ipo’i	 this morning
i teie ru’i 	tonight
i teie taime 	now
iti	small, few
itoito	courage
i uta 	at the bottom, towards the land
iva	nine
ma	family group
ma’a	food, white of the coconut, fruit
ma’a	small quantity when applied especially to food, sling
ma’ahia	to become fruitful
mā’e	to lift
maeha’a	twin
maere	to be astonished, exceptional
maeva!	welcome!
maha	four
maha’ahuru	forty
mahana	sun, day
mahanahana	warm
mahana hope’a 	the last day
Mahana Mu'a 	Saturday
Mahana Maha 	Thursday
Mahana Piti 	Tuesday
Mahana Toru	Wednesday
mahora	to spread open
mahuta	fly, take off
mai	like, as, towards the
speaker,	with, since, from
mai te mea ē	if, whether
mai te peu ē	if
ma’ihia 	to be sick
mai’a	banana
maia’a	mother ofan animal
maira	then, there
ma’iri	past (time)
maita’i	good, well
ma’iti	to elect
mama	light, inexpensive
mama	mother
mama v	grandmother
mamoe	sheep
māmu!	be quiet!
mana	authorities
mana’o	to think, hope
manava!	welcome!
maniania	to make a noise, to ru’au 
manihini	guest
manu	bird
manuia	cheers! good luck! to succeed
manureva	aeroplane
ma’o	shark
ma’ohi	Polynesian
maoro	for a long time, to be late
maorora’a	period, time, length
mara’a	to be raised, to rise
marae	temple, ceremonial place
maramarama	intelligence
mārehurehu	dusk
Marite	America
maro	belt (royal)
maro	dry
māro	to be stubborn
mam	calm, gentle, soft
mama	to fall (leaves)
mata	face, eyes
matahiapo	first-born
matahiti	year
mata’i	wind
māta’ita’i	to look at, admire
matamua	first
matara	to become untied, open, to start
mata’u	to fear
matau	to be accustomed, used to, know
matau	hook
mata’eina’a	district
matete	market
Māti	March
māti	match
mataro	sailor
matie	green, grass
mātou	we (pl. exc.)
mau	plural marker, true, real, to hold
māua	we (dl exc.)
mau’a	to be wasted
ma’ue	to fly
mauiui	pain, to ache, to be sad
maurūru	to thank, thank you
Mē	May
mea	thing
mero	member
metua	parents
metua tāne 	father
metua vahine 	mother
mihi	to weep, to lament, grief
mimi	cat, to urinate
miniti	minute
miti	sea
miti popa’a	popa’a salt
mo’a	Saint
moa	fowl
moa oni 	rooster
moa ufa 	hen
moana	sea, ocean
mo’e	to lose, to be forgotten, to forget
moemoea	dream
mōhina	bottle
momoni	Mormon
monamona	sweet
moni	money
moni-ho’o	price
moni-hu’ahu’a	change
Monire	Monday
Mo’orea	Moorea
mo’otua	grandchild
miōri	light
moto	motor cycle
moto	to fight, brawl
motu	island
motu raro mata’i	lies Sous le Vent
mou’a	mountain
mori-turama-āva	lighthouse
muto’i	 police
mutu	to be cut
nā	the (pl marker), near the addressee
nā	benefactive (for), by
nafea?	how?
na	mua ā’e before
nana	flock, herd
nā ni’a	in, by
naonao	mosquito
nā raro noa	on foot
nā ropu 	between
nā roto 	by means of
nā vai	serves the same purpose as’o vai but is used only with transitive verbs
nava’i	to be sufficient
nehenehe	beautiful, to be able
nei	near the speaker
ni’au	coconut tree leaves
niho	tooth
ninamu	blue
Niu Terani	New Zealand
nō	for, of
noa	only, always, still
noa’a	to be obtained
noa ātu ā	although
noa iho	only, always, still
no’ano’a	fragrant, perfumed
noho	to live, inhabit, sit
no mātou, nā matou 	, for us (exc.)
no māua, nā mātou	 for us two (exc.)
	
nōna,	nāna for him, her
nō ’oe,	na’oe for you
nō ’oe ’ōrua,	na’ōrua for you two
nō ’oe ’outou,	nā’outou for you
nō ’oe	 for them
nō rātou, nā rātou	rāua, nā rāua for them two
nō tātou, nā tātou	for us (inc.)
nō tāua, nā tāua	for us two (inc.)
nō te aha? 	why?
nō te mea	 because
nō’u, nā’u 	for me
nō vai, nā vai	whose
Novema	November
nui	big, immense
nu’u	army
’o	it is (demonstrative), to dig
’oa’oa	pleasure, pleasant, to be happy
’oe	you
ōe	bell
’o’e	sword
o’e	to be in a state of famine
’ofa’i	stone, coral
’ofati	to break
’ofe	bamboo
’ohie	easy
’ohipa	work, thing
oi	almost
ōi	to mix
’oi	sharp, pointed
’o’i	to sprain
’oia	he, she, it, yes
’oia ho’i	namely
’oi’oi	quickly
’oire	town
’omaha	to urinate
’ona	he, she, it
one	sand
’onei	here
ōni	indicates male sex in animals
ōno	six
ōno’ahuru	sixty
’o’o’a	bay
’o’omo	to wear, to dress, to put into
’opa’a	ripe coconut
’opahi	axe
’opani	door, to close, finish
ope	shovel
’opū	stomach, heritage
ora	to live
’ore	without, not, to neglect to
ōri	to walk
’ori	dance
’orira’a	hanahana grand ball
’oro’a	 feast, festival
’orometua	missionary
’ōrua	you (dl)
ota	raw, uncooked
’otāne	indicates male sex in trees
or	plants
’ote’a	kind of dance
oti	to finish
’otu’e	promontory, point
’oura-miti	crayfish
’outou	you (pi.)
’ovahine	indicates female sex in
trees	or plants
’o vai? 	who? which?
’oviri	wild, untamed
pa’ari	to be hard, mature, stingy
pae	five
pa’e	male animals mature
enough	to reproduce or which
have	already reproduced
pae ā’au	edge of the reef
pae’ahuru	fifty
pae miti	 beach
pae moana 	edge of the lagoon
pae tahatai	sea-shore, beach
pe’ape’a	trouble, nuisance, to be
pafa’i	to gather, pick, pluck sorry
pafa’ira’a	harvest
pe’etā	a bunch still attached to a branch
pāha	wild boar
paha	perhaps
peni-pāpa’i	ballpoint pen, pen
pāhere	comb
pēpa	pepper
pahi	steamer
pepe	butterfly, baby
pahono	to answer
pepe	to wound
pa’imi	to look for
pere’o’o	taxi, car
painu	to float in the sea
pere’o’o uira 	car
pana	to dig around, scoop
peretiteni	Presidency
pa’o’a	kind of dance
petania	Bethany Church
papa’a	crab
pe’ue	mat
papa’i	to write
pi	unripe
papa ru’au 	grandfather
pia	beer
pape	water
piha	room
papū	flat, firmly, to be sure
piha’i iho	beside
papu’a	to wash
piharahara	to open up
para	ripe
pi’i	to call
parahi	to sit, goodbye
pi’ifare	cat
parahira’a	chair
pinepine	often
paraparau	to ierse
pinia	indicates the young of
parara’a	the ripening sheep (lambs)
parari	to break, smash
pipi	to water
parataito	paradise
piripou	trousers
parau	to ierse, to speak, word, talk
piti	two
piti’ahuru	twenty
pārau	pearl-shell
piti’ahuru	ma ho’e twenty-one
parau’api	news
po	evening, night
parau	tahito legend
pohe	to die, to be ill
parauparau	to chat
po’ia	to be hungry
pareu	loin-cloth
po’ihā	to be thirsty
paru	bait
po’ipo’i	morning
paruru	wall
po’ipo’iroa	early in the morning
pata	to take a photo
po’o’a	to make a noise
patia	to spear (a fish), to prick
popa’a	foreigner, European
pātia -mā’a	fork
popo	ball
patiatia	to prick several times
poro	to make an announcement, corner
patiri	to thunder
pāto’i	to refuse
poro	marble, ball
pau	to be consumed
porote	to walk in procession
pa’uma	to climb up
porotetani	Protestant
pauroa	all
poti	boat
poti’i	girl
poto	short (sing.)
pou	pillar, to descend
pū	principal, trumpet, main, source, centre
pu’a	coral, soap
pua’a	pig
pua’afanau’a	piglet
pua’ahorofenua	horse
pua’a maia’a	 sow (pig)
pua’aniho	goat
pua’atoro	cattle
puai	strength, strong
pu’e	collection of men, animals, food
pūha	copra
puhi	eel
puhipuhi	to smoke
pu’ohu	to wrap up, packet
pupa	bunch, usually of smaller fruits
pupu	group
pūpū	sea-shell
purau	kind of tree (Hibiscus tiliaceous)
pure	to pray
purera’a	prayer
purotu	handsome
purumu	street
puta	book
pūte	sack, bag, suitcase
putuputu	to assemble
ra	far from the speaker
ra’atira	chief
ra’au	tree, medicine
rahi	big, very
rahira’a	majority, quantity
ra’i	sky
raid	rice
rama	to fish at night
rari	wet
rata	letter
rōtere	tourist
rātou	they
rau	numerous
rāua	they (dl)
rava’ai	fishing
rau’ere	leaf
rava’i	to be sufficient
rave	to do, make, take
raverahi	many
raverau	many
raverave	to manipulate
rē	to be victorious, to win, prize
re’are’a	yellow
reira	that (which has been previously mentioned)
reo	language, voice
repera	leper
repo	earth, soil, dirty
repo puehu 	dust
rere	to fly (ofa plane)
rereva	to leave (dl)
reva	to leave, depart, go, the sky, flag
ri‘i	a little
rima	hand, arm
riro	to become, to be taken possession of
roa	long, very, never
roa’a	to catch, obtain
rohirohi	tired, fatigued
roi	bed
roimata	tears
Ronetona	London
roto (i)	in, inside
rotopu	among
rouru	hair of the head
rū	to hurry, rush
ru’au	old person
ru’i	night (Biblical)
ruperupe	beauty
ruru	bundle or collection of something tied with rope or liana
tā-	causative formative with the meaning “to put something to use”
ta’a	to be certain, to know how
to,	chin, jaw
ta’a’era’a	farewell
ta’aero	bad, poison, drunk
ta’ahira’a-pere’o’o	bicycle race
tā’amu	to tie
ta’ata	man, person
ta’ata-fa’ahoro-pere’o’o	taxi driver
ta’atahia	to become populous
ta’ata-pāpa 'i-hoho 'a	artist
tae	to arrive, come
taea’e	brother (general)
taera’a	arrival
taere	slow, slowly
tahatai	beach, shore
tahi	a, another
tahua	floor
tahua taura’a manureva 	airport
tahuna	to hide
tai	towards the open sea
ta’i	to cry
tai’a	to fish
tai’ara’a	fishing
taiete	society, company
taiha’a	purchase
taime	time
tai’o	to read, count
ta’iri	to hit, beat
tāmā’a	to eat at table
tāmā’ara’a	feast
tamāhine	daughter, girl
tamahine-ho’oho’o	shop assistant
tamaiti	child (male), son
tamari’i	child (general)
tamāroa	small boy, son
tāmata	to try, attempt
tāmau	to hold, learn thoroughly,
make	fast, put on
tāmuta	fare carpenter
tāne	indicates male sex with persons
tanito	Sanito Church
tāniuniu	to telephone
tano	to be right
tanu	to plant, bury
tao’a	gift, present
ta’o’oto	to sleep (dl)
taora	to throw
taorapopo	basketballer
taote nilio	dentist
taote ra’au 	doctor
ta’oto	to sleep
tapae	to land
tapapa	to pursue
taparahi	to kill
tāparu	to beg
Tapati	Sunday
tapau	lead-weight
tape'a	to stop, look after, hold
tāpo’i	to cover
tapona	knot
taponi	to abandon
tapu	to forbid
tāpū	to cut
tāpūpū	to cut in two
tara	horn
tāra	five francs CFP
tārahu	to rent, hire, bill
tari’a	ear
taro	taro
tātā’i	to repair
tataio	short
tatara	to remove, dig up
tatarahapa	to repent
tātihota	to sugar
tatorita	Catholic
tātou	we (pi. inc.)
tau	time, occasion, season, period
tāua	we (dl inc.)
taua ...	ra may be used with approximately the same meaning as tera (that)
taui	to change, turn
tauiha’a	baggage, suitcase, present
tāūpo’o	hat
taura	race or breed of men, of animals, rope
tau	na restricted plural article
taura’i	to dry in the sun
taure’are’a	youth, teenager
ta’urua	feast, festival
tautai	fishing, to fish
tauturu	to help
tavana	mayor, chief
tavana	rahi Governor
taviri	to film, to close, key, game
te	the (definite article)
teata	cinema
tehia?	which one?
teiāha	heavy
teie	this (near the speaker)
tei	hea? where?
teina	younger sibling (same sex)
teitei	high
tena	that (near the person addressed)
Tenuare	January
tera	that (not near the speakers)
tere	to go past, to travel, voyage
Tetepa	September
ti’a	to stand up, be able
tia’a	shoes
tiahi	to chase
tia’i	to wait (for)
tiare	flower
tihota	sugar
ti’i	statue, image, to pick, to gather, to get
tinito	Chinese
tino	body
tipi	knife
tiro	kilogram
tita 	guitar
Titema	December
titeti	ticket
titiro	rata postage stamp
Tiunu	June
Tiurai	July
to	sugar-cane
toe	to remain
to’eto’e	cold
tohora	whale
to’i	axe
tō matou, tā mātou 	our (pi. exc.)
tō māua, tū māua	our (dl exc.)
to/no	to enter, sink
tōna, tana 	his, her
tono	to send
tō 'oe,	tā’oe your
to’ohia?	how many?
tō’ōrua, tā’orua 	your (dl)
tō’outou, tā’outou 	your (pl.)
topa	to give a name to, to fall
topara’a-pape	waterfall
tō rātou, tā rātou 	their (pl.)
tō rāua, tā rāua 	their (dl)
toro	to extend
toro’a	job, trade, occupation
toru	three
toru ’ahuru	thirty
tō tātou, tā tātou	our (pl. inc.)
tō tāua, tā tāua	our (dl inc.)
totini	sock
toto	blood
tō’u, tā’u 	my
tua’ana	elder sibling (same sex)
tuahine	sister (ofa boy)
tu’ane	sister (ofa girl)
tu’epopo	footballer
tuha’a	point, promontory, part
tumu	trunk o fa tree, reason, root
tumu ha’ari	coconut tree
tumu rā’au	tree
tumu’uru	breadfruit tree
tunu	to prepare, cook
tupa’i	to kill, hit
tupohe	to kill, put out a light
tupu	to be present, grow, take place
ture	law
tutau	anchor
tute	tax
tutu	kind of tree
tutu	a cook
tu’u	to put in, deposit, let down, put down
ū	milk
’ua	past tense marker
Ua	rain, to rain
u’a	kind of crab
’u’ā	to bloom
uahu	wharf
uaina	wine
uati	watch
ueue	to shake
ufa	indicates female sex in animals
ūfi	yam
uira	electricity
’umara	sweet potato
’uo’uo	white, clean
’upe’a	net
Upo’o	head
’ura	red
’uri	dog
’urifanau’a	puppy
’uri oni 	dog
’uri ufa 	bitch
’uru	breadfruit
’uru’anani	orange plantation
uta	inland, towards the interior
’utaru	to weed, clean up
’ute’ute	red
va’a	outrigger canoe
vaha	mouth
vāhi	place, area
vāhifa’ari’ira’a	reception area
vāhi himenera’a	night-spot
vāhi’orira’a	nightclub
value	wood
vahine	woman
vahinefa’aipoipo	wife
vai	to be, to exist, fresh water
vaiho	to put, place, leave
vanira	vanilla
vau	I, me
va’u	eight
ve’a	newspaper
ve’ave’a	hot
vera	those people (about whom one has spoken)
vetahi	some, others
vi	mango
vine	grapes
vinivini	to tickle
vitiviti	skill, quickly
