OC.A	I/aa	Marque of the complément (devant the pronoms et noms propres)	Marque du complément (devant les pronoms et noms propres)
PN.HAALIQA	Aria	The space between objects; the parts between the knots of sugar cane, bamboo, &c.	(Dvs)
PN.HAALIQA	Aria	Détroit, intervalle	Détroit, intervalle
PN.QARIKI	Arii	A head or principal chief; a king	A head or principal chief; a king
PN.QARIKI	Ariʔi	Roi	(Lmt)
MP.QALILI	Ariri	Name of a small shell fish	(Dvs)
AN.QARO.A	Aro	Face (d'un homme); [présence]	Face (d'un homme); [présence]
MP.QAROFA.A	Aroha	Compassion, pity, sympathy, love, affection; to have pity or compassion; to shew mercy, love, sympathy; pitiable	(Dvs)
MP.QAROFA.A	Arofa	Pitié, sympathie, bonté, compassion, amour, solidarité; avoir pitié, avoir of the sympathie, of the bonté	Pitié, sympathie, bonté, compassion, amour, solidarité; avoir pitié, avoir de la sympathie, de la bonté
PN.QAROFA.B	Arofa	Saluer	(Lmt)
LO.AAROTE	ʔAarote	Charrue (biblique); labourer	(Lmt)
CE.KAREWA	Pareva	Fish-lime gribouillé (Aluterus scriptus)Phonologically Irregular	Poisson-lime gribouillé (Aluterus scriptus)Phonologically Irregular
MP.KANAHE	ʔAnae	Mulet argenté (Neomyxus leuciscus)	Mulet argenté (Neomyxus leuciscus)
PN.HAKU	Aʔu/aʔu	Orphie carénée (Platybelone argalus)	Orphie carénée (Platybelone argalus)
PN.SAFOLE	(ʔ)Ahore	Fish-pavillon (Flagtail) spp.	Poisson-pavillon (Flagtail) spp.
EO.QALU.A	Aru/aru	A pursuer, a huntsman; to hunt, pursue	A pursuer, a huntsman; to hunt, pursue
EO.AMI	Ami	The spawn of crabs, lobsters, &c.	(Dvs)
PN.QAMIO	Amio	Unsettled, changeable	(Dvs)
PN.QAMO	Amo	Porter quelque chose on the dos or on l'épaule	Porter quelque chose sur le dos ou sur l'épaule
PN.AMU	Amu/amu	To mock, deride, call ill names ; to grumble, murmur	(Dvs)
PN.QANA.1	Ana	Grotte, caverne	(Lmt)
NP.QANA-I-LAA-NEI	Inauanei	Tout to l'heure (passé)	Tout à l'heure (passé)
NP.ANAKE	Anaʔe	Tous, tous a the fois	Tous, tous a la fois
TA.AA-NANAFI	Aanaanahi	Demain	(Lmt)
PN.QANA-POO	Naapoo	Hier soir	(Lmt)
PN.QANA-POO	Aanaapoo	Cette nuit [Iles Under the Vent (Leeward islands) Dialect]	Cette nuit [Iles Sous le Vent (Leeward islands) Dialect]
TA.AA-NIWA	Aniva/niva	A great deal of giddiness or vertigo; to be moving in a zigzag course, as an arrow, or lightning	A great deal of giddiness or vertigo; to be moving in a zigzag course, as an arrow, or lightning
FJ.AA-NINI	Anini	Giddiness; a sense of turning in the head, to be giddy, dizzy	(Dvs)
CE.ANO.1	Ano	Desolate, as a house or land; the desolate state of a country, or of a house, for want of inhabitants	Desolate, as a house or land; the desolate state of a country, or of a house, for want of inhabitants
NP.QANU.1	Anu	Cold	(Dvs)
EP.AA-NUANUA.*	Aanuanua	Rainbow	(Wte)
EP.AA-NUANUA.*	Anuanua	Arc-en-ciel	(Lmt)
TA.ARUHE	Anuhe	Fougère (Dicranopteris linearis). The common fern in the mountains (Dvs).	Fougère (Dicranopteris linearis). The common fern in the mountains (Dvs).
NP.AO.2	O/ao	A cocoanut that has no water or kernel	(Dvs)
NP.AO.2	O/ao/ao	An old empty cocoanut	(Dvs)
EP.AO.4	Te ao nei	The present world, the present state of existence	(Dvs)
EP.AO.4	Te ao nei	The monde here-low	Le monde ici-bas
OC.QAO.1	Ao	Bright clouds of the sky. Nuage, nuée (Jsn).	Bright clouds of the sky. Nuage, nuée (Jsn).
NP.QAO.2	Ao	Heaven, blessedness, happiness; the state of the blessed; the good reign of a prince	(Dvs)
CE.AOA	ʔAoa	Aboiement; aboyer [glottal unexplained]	(Lmt)
OC.QAOA	Aoa	Banyan (Ficus prolixa). The name of a tree, called also ora and ore, and of the bark of which cloth is made... (Dvs)	(Aca)
CE.AO-RAGI	Aoraʔi	Palais; nom d' une mountain to Tahiti	Palais; nom d' une montagne à Tahiti
TA.APARAGI	Aparai	Clear, cloudless, of sky	(Dvs)
TA.APERE	Apere	The reed thrown or darted in the game called aperea; the person that throws the reed	(Dvs)
MP.QAPI.2	Api	Etre occupé, be plein, be encombré (en parlant d'un lieu, or d'un contenant)	Etre occupé, être plein, être encombré (en parlant d'un lieu, ou d'un contenant)
MP.QAPI.2	Apiapi	Filled, occupied, narrow	(Dvs)
EP.AA-POOPOO	Apopo, abobo	Tomorrow	(Dvs)
CE.APU.B	Apu, abu	To dart or fly at each other, as pigs or fishes; to fall upon each other, as dogs when eating....	(Dvs)
CE.APU.B	Apu	Se jeter on une proie (like the font the chiens, the poissons, the oiseaux of mer), mordre (a the pêche)	Se jeter sur une proie (comme le font les chiens, les poissons, les oiseaux de mer), mordre (a la pêche)
PN.ASEU	Aheu	Name of a delicious sort of fish (Teuthis spinus)	(Aca)
OC.ASI	Ahi	Wood of santal (Santalum insulare)	Bois de santal (Santalum insulare)
MP.QASU	Ahu	To scoop, lade, or shovel; to take up any thing with a vessel or a ladle	To scoop, lade, or shovel; to take up any thing with a vessel or a ladle
PN.ATA.1	ʔAʔahi/ata/	Aurore, point of the day	Aurore, point du jour
AN.QATA	Ata	Nuage, ombre portée, reflet d' un objet in un miroir or in l' water	Nuage, ombre portée, reflet d' un objet dans un miroir ou dans l' eau
EC.ATA-FAI	Atavai	Pretty, elegantPhonologically Irregular	(Dvs)
EO.QATAMAI.A	Atama	Wisdom, intelligence, wise, intelligentPhonologically Irregular	(Lmt)
AN.QATE.1	Ate	Foie of the poissons, parfois the bile or the foie of the hommes	Foie des poissons, parfois la bile ou le foie des hommes
PN.QATE.2	Ate ʔaavae	Mollet	(Lmt)
PN.QATE.2	Ate rima	Partie charnue of the main, of the bras	Partie charnue de la main, du bras
PN.QAATEA	Atea	Clear, having no obstruction, no obscurity; openness, clearness, distinctness; distant, far off	(Dvs)
PN.QAATEA	Aatea	Lointain, éloigné, distant	Lointain, éloigné, distant
PN.QATE-LOA	Ateroa	The milt or spleen	(Dvs)
NP.AATI	Ati	Cleave or adhere to a person; to join	(Dvs)
NP.AATI	ʔAti	Unir, joindre (e.g. as in marriage)Phonologically Irregular	(Lmt)
PN.QATIU	ʔAtiu	(Cucumis melo)	(Whr)
PN.QATIU	Atiu/aea	The name of a yellow running plant (Dvs). (Luffa insularum) (Cucurbit) (Jsn)	(Dvs)
AN.QATO	Ato	Couvrir une house en pandanus or en palme of cocotier	Couvrir une maison en pandanus ou en palme de cocotier
OC.ATU	Atu	Particule verbale postposée: (sens général) éloignement par rapport to celui qui parle...	Particule verbale postposée: (sens général) éloignement par rapport à celui qui parle...
MP.QATUA	Atua	God, the general name for a Deity	(Lmt)
MP.QATULE	Ature	Fish of the famille of the Carangidae (Selar crumenophthalmus) quand sa taille est the petite...	Poisson de la famille des Carangidae (Selar crumenophthalmus) quand sa taille est la petite...
AN.AU.1	(V)au	Pronom personnel, première personne of the singulier...	Pronom personnel, première personne du singulier...
MP.QAUA.1	Aua	(Valamugil engeli) of intermediate size. Fish of the famille of the Mugilidae (Crenimugil crenilabis), quand il est of taille intermédiaire entre ' oorie et tehu (Lmt)	(Valamugil engeli) of intermediate size. Poisson de la famille des Mugilidae (Crenimugil crenilabis), quand il est de taille intermédiaire entre ' oorie et tehu (Lmt)
PN.QAUA.2	Au(r)aa	Not, do not, imperatively	(Dvs)
NP.QAU-AFI.*	Auahi	Feu (combustion)	(Lmt)
PN.QAUEE	Auee	Pleurer, se lamenter; exclamation exprimant the peine, the douleur or the plaisir	Pleurer, se lamenter; exclamation exprimant la peine, la douleur ou le plaisir
CE.AU-MISI	Aumihi	Grief, pity, compassion	(Dvs)
CE.AUTA	Autaa	Gémir	Gémir
NP.QAU-TALA	Autara	To sharpen the edge of a bamboo splinter for cutting with	(Dvs)
CE.AUTE	ʔAute	Broussonetia papyrifera dont on faisait un 'tapa' brun	Broussonetia papyrifera dont on faisait un 'tapa' brun
MP.AWA	Ava	Passe (pour entrer in un lagon or in un port)	Passe (pour entrer dans un lagon ou dans un port)
MP.QAWA	Ava	Fish called white salmon (Chanos chanos). Fish of the famille of the Chanidae (Chanos chanos), quand il est adulte (Lmt).	Fish called white salmon (Chanos chanos). Poisson de la famille des Chanidae (Chanos chanos), quand il est adulte (Lmt).
MP.QAWA	Ava/ava	Sand goby (Eleotriodes strigata)	(Bgn)
CE.AWATEA.*	Avatea	The midi, the mi-journée of 10 h to 15 h	Le midi, la mi-journée de 10 h à 15 h
EP.AWE.B	Ave	Queue d'une comète	Queue d'une comète
OC.E.1A	E	(devant the formes verbales) Aspect non accompli (action qui n'a pas eu lieu to the moment auquel on se réfère), équivaut often (a) to the futur....(b) to the présent intemporel...	(devant les formes verbales) Aspect non accompli (action qui n'a pas eu lieu au moment auquel on se réfère), équivaut souvent (a) au futur....(b) au présent intemporel...
PN.E.2	E	"(devant the formes nominales) Marque of l'agent of the passif ""par"""	"(devant les formes nominales) Marque de l'agent du passif ""par"""
CE.E...ANA	Tee...ana	Il est still employée of nos jours pour indiquer the continuatif, soit the present indéfini	Il est encore employée de nos jours pour indiquer le continuatif, soit le present indéfini
PN.EE	ʔEe	Oui, dire oui	(Lmt)
AN.EFU.1	Ehu	Trouble (eau)	(Lmt)
TA.EE-IA	Eie	Old plural form qui, pour beaucoup of locuteurs modernes, ont perdu tout rapport with the nombre	Old plural form qui, pour beaucoup de locuteurs modernes, ont perdu tout rapport avec le nombre
PN.QELO	Ero	A kind of sauce. Se dit of the mitihue quand the morceaux of coconut ont suffisament trempé in l’eau fermentée et se désagrègent (Lmt).	A kind of sauce. Se dit du mitihue quand les morceaux de coco ont suffisament trempé dans l’eau fermentée et se désagrègent (Lmt).
PN.QELO	Faʔa/ero	Pourri (oeuf)	(Lmt)
NP.ENE.2	Ene/ene	Strong, urgent, pressing. Hinaaro eneene, a pressing or urgent desire.Problematic	(Dvs)
NP.ENE.2	Hinaaro ene/ene	A pressing or urgent desireProblematic	A pressing or urgent desireProblematic
EP.QEO	Veoveo	Odeur corporelle âcre (urine)Phonologically Irregular	Odeur corporelle âcre (urine)Phonologically Irregular
OC.QEPA	Epa	A small enclosure sacred to the infant king; also an enclosure for the use of dancers	(Dvs)
AN.FAQA.1	Fa	The stalk of some large leaves such as taro, plantain, and also the cocoanut	(Dvs)
EP.QETE.*	Ete/ete	Shocked, disgusted, shamed	(Dvs)
PN.EWE.1	Eve/eve	Torn, ragged; raggedness	(Dvs)
EP.QEWE	Eve	The secundines of a beast	The secundines of a beast
AN.FAA.1	Faa (Obs.)	Four (Xxx)	(Lmt)
AN.FAA.1	Haa	Quatre (arch.)	(Lmt)
PN.FAA-.4	Faa-	Causative prefix	(???)
AN.FAQA.1	Faa	Pétiole et nervure centrale of the feuilles of taro, of bananier, of cocotier	Pétiole et nervure centrale des feuilles de taro, de bananier, de cocotier
PN.FAQELE	Faere	A large and prominent belly	A large and prominent belly
PN.FAA-FAA	Faafaa	Toucher, palper; sonder the intentions of quelqu'un	Toucher, palper; sonder les intentions de quelqu'un
NP.FAAFAA-LUA	Faafaa/piti	Manta ray (Manta alfredi)Problematic	(Hpr)
NP.FAGA.2	Faa	A valley; a low place among the hills	A valley; a low place among the hills
NP.FAGA.2	Faʔa	Vallée	Vallée
PN.FAGA.4	Faʔa	Nasse. Fishtrap with diminishing entrance (Xxx).	(Lmt)
CE.FAAGAI.B	Faʔaʔamu	Adopter; adoptifProblematic	(Lmt)
PN.FAGA-MEA	Haʔamea	Poisson (Lutjanus bohar)	(Lmt)
NP.FAGO	Faʔo	Personne qui parle of the nez; nasillard	Personne qui parle du nez; nasillard
AN.FAI.1	Fai	Raie (fish), famille of the Mylobatidae et of the Dasyatidae. The skate, or stingray fish, of which there are many varieties (Dvs).	Raie (poisson), famille des Mylobatidae et des Dasyatidae. The skate, or stingray fish, of which there are many varieties (Dvs).
NP.FAI.4	Fai	The name of a game played by children. String game, cat's cradle (Xxx)	(Dvs)
NP.FAQI	Fai	A certain Tahitian curse or imprecation; the name of a part of the offering which the priests used to eat in the marae	A certain Tahitian curse or imprecation; the name of a part of the offering which the priests used to eat in the marae
NP.FAAILU.*	Fairu	To befoul a person in contempt	(Dvs)
OC.FAI-MANU	Fai manu	(Aetobatus narinari) [Euphrasen]	(Rdl)
NP.FAA-QITA.*	Faita	To make grimaces	(Dvs)
PN.FAKA-QITA	Faaita	To distort the lips and chin; to make grimaces by way of contempt, or to excite laughter	(Dvs)
CE.FAA-ITE.B	Faite	To be equal	(Dvs)
PN.FATU-TILI	Paatiri. Patiri (Dvs).	Tonnerre, foudre; tonner. Thunder; to thunder.Phonologically Irregular	(Lmt)
EP.FAAITO	Faito	Egal, be égal; s'équilibrer; mesure (of longueur, of poids, of capacité); mesurer, peser; balance, bascule	Egal, être égal; s'équilibrer; mesure (de longueur, de poids, de capacité); mesurer, peser; balance, bascule
EO.FAKA-.1	Faʔa- ~ haʔa-	Préfixe productif qui devant un nom or un verb the transforme en verb actif	Préfixe productif qui devant un nom ou un verbe les transforme en verbe actif
CE.FAKA-EA	Faʔaea	Cesser, s'arrêter; demeurer, rester	Cesser, s'arrêter; demeurer, rester
PN.FAKA-QAFU.1	Faʔaahu	Faire chauffeur	(Lmt)
PN.FAKA-QAFU.2	Faʔaahu	January-February	(Mkn)
EC.FAKA-IPO-IPO	Faʔaipoipo	Marié; se marier, marier; the marié, the mariée	Marié; se marier, marier; le marié, la mariée
CC.FAKA-KAI	Faaai	An ornament put in the ear	(Dvs)
PN.FAKA-ROGO	Faʔaroʔo	Entendre, écouter; obéissant, obéir; foi, croyance, croyant	Entendre, écouter; obéissant, obéir; foi, croyance, croyant
CE.FAKA-RUA.2	Faʔarua, haʔa/piti	Vent of the nord-est	Vent du nord-est
CE.FAKA-MATA.2	Haʔamata	Commencer	(Lmt)
PN.FAKA-MAQU	Haʔamau	Rendre fixe, établir	Rendre fixe, établir
EC.FAKA-MAUMAU	Haʔamou	Anéantir.Phonologically Irregular	Anéantir.Phonologically Irregular
CE.FAKA-PAGO	Haʔapaʔo	Attention, attentif, faire attention	(Lmt)
PN.FAKA-PAPA.A	Haapapa	Entasser, raconter, chercher to	Entasser, raconter, chercher à
PN.FAKA-PEQE	Haʔapee	Faire murir, faire pourrir	(Lmt)
PN.FAKA-SEKE	Faʔaheʔe	Glisser on the vagues to the moyen d’une planche (surfing)	Glisser sur les vagues au moyen d’une planche (surfing)
NP.FAKA-TULI	Faʔaturi	Faire le sourd	(Lmt)
CE.FAKA-TURI	Faʔaturi	Prostituée (protestant) (vahine fa'aturi); qui vit en concubinage (catholique)	Prostituée (protestant) (vahine fa'aturi); qui vit en concubinage (catholique)
CE.FAKA-TURI	Faaturi	To commit adultery or fornication; but most commonly the term is applied to prostitution for hire	(Dvs)
OC.FAKI	Faʔi/faʔi	Cueillir	(Lmt)
OC.FAKI	Paa/faʔi, poo/faʔi	Cueillir	(Lmt)
NP.FAQAKI	Fâi	To confess, reveal, divulge	(Dvs)
NP.FAQAKI	Faaʔi	Confesser	(Aca)
NP.SAAKILI.2	Haaʔiri/ʔiri	Vilain, dégoutantUncertain Semantic Connection	Vilain, dégoutantUncertain Semantic Connection
TA.FALA.3	Hara/hara	Découper un animal, enlever the filets d'un fish	Découper un animal, enlever les filets d'un poisson
AN.FARA	Fara	Fruit du pandanus; pandanus (Pandanus odoratissimus, P.tectorius)	(Lmt)
FJ.FALA-FALA.1	Farafara	A species of mountain plantain	A species of mountain plantain
NP.FALA-FALA.2	Farafara	An eel	(Dvs)
PN.FALALA.A	Farara	Fall of the verticale to l’horizontale	Tomber de la verticale à l’horizontale
PN.FALALA.B	Farara	Souffler (en parlant of the vent)	Souffler (en parlant du vent)
FJ.FALAU	Farau	A shed for a boat or canoe	A shed for a boat or canoe
MP.FALE	Fare	Maison	(Lmt)
NP.FALELO	Farero	Corail en branches; vis, écrou, boulon	Corail en branches; vis, écrou, boulon
PN.FAALIKI	Faariʔi	Recipient, contenir; recevoir quelqu’un, accueillirProblematic	Recipient, contenir; recevoir quelqu’un, accueillirProblematic
PN.FA-LIU	Faariu	Se tourner towards, be tourné towards; se convertir	Se tourner vers, être tourné vers; se convertir
EO.FARO.1	Faro	To be anxiously waiting or expectingBorrowedUncertain Semantic Connection	(Dvs)
NP.FAALOA	Faaroa	Spotted sea bass (Epinephelus tauvina). Mérou (Epinephelus areolatus) (Lmt).	Spotted sea bass (Epinephelus tauvina). Mérou (Epinephelus areolatus) (Lmt).
EO.FALU	Vetoʔo/fanu	Some (before a noun designating people, little used)	( Lmt )
AN.FARU.1	Faru	To deflour virginity	( Dvs )
TA.FARU.2	Faa/faru	Fish fermented in seawater	( Lmt )
AN.FANA.1	Fana	A bow of the archer	A bow of the archer
AN.FANA.1	Fana	Bow; yard	( Jsn )
PN.FANAA	Fanâ	The yard of a ship	The yard of a ship
NP.FANAKE.*	Fanae	The time soon after midnight, when the tide begins to ebb	( Dvs )
OC.FAANAKO	Faanaʔo	To be lucky, luck	( Lmt )
NP.FAANAU.B	Faanau	To give birth, to give birth, to give birth; to be born, to be born (biblical)	( Lmt )
NP.FANAU-GA	Fanauʔa	Young of an animal	( Lmt )
AN.FANO.1	Fano	Leave by sea	( Lmt )
AN.FANO.1	Fano	To sail	( Dvs )
OC.FANO.4	Taa/fano	Esp. plant (Guettarda speciosa)	( Lmt )
EP.PUU-FENUA.*	Pufanua, pufenua	The placenta	( Dvs )
OC.FANUA-MAMALA	Fenia	A tree, the bark of which is used in dying. (Carumbium nutans) (Jsn) . (Omalanthus nutans) (Whr)Phonologically Irregular	( Dvs )
PN.FAQO.1B	Fafao	To put into a receptacle, as food into a basket, the arm into a sleeve, etc.	To put into a receptacle, as food into a basket, the arm into a sleeve, etc.
OC.FAQO.1C	Fao	Point, scissors; to pierce, to drill	( Lmt )
PN.FAAPUKU	Haapuʔu	Fish of the Serranidae family, (Epinephelus fuscuguttatus)	( Lmt )
MP.FATA.1	Fata	Altar (church, temple, marae)	( Lmt )
MP.FATA.1	Fata	An altar; a scaffold put up for any purpose; a piece of wood to hang baskets of food, &c.; to pile up fire wood, to set the fire in order in the native oven	An altar; a scaffold put up for any purpose; a piece of wood to hang baskets of food, &c.; to pile up fire wood, to set the fire in order in the native oven
NP.FATA.2	Fata/fata	Open, empty, carefree; gaping, half-open, spread apart	( Lmt )
TA.FAA-TATA	Faatata	Near, close, soon, almost, approach	( Lmt )
OC.FATI.A	Fati	Break, rupture, breakage (said of a long object broken by bending into two pieces); broken; to break, to be broken; to shatter, to break (speaking of waves)	( Lmt )
NP.FATI-GA	Fatiraʔa	JointPhonologically Irregular	( Lmt )
CE.FAATINO	Fatino	To move slowly, as a cat watching its prey; to go slyly and slowly, as a thief, that he can secure his prey	To move slowly, as a cat watching its prey; to go slyly and slowly, as a thief, that he can secure his prey
NP.FATITILI.*	Paatiri	Thunder, lightning; thunderPhonologically Irregular	( Lmt )
CE.FAATOO	To	To wrestleProblematic	( Dvs )
CE.FAATOO	Taputoo	To fight, to struggleProblematic	( Lmt )
MP.FATU.1A	Fatu	To plait or braid; to weave	( Dvs )
PN.FATU.1B	Fatu/pehe	The maker of a song	The maker of a song
AN.FATU.2A	Fatu	Gristly part of an oyster; core of an abscess	( Dvs )
AN.FATU.2A	Fatu/ʔura	Red stone (Poetic) (Xxx)	( ??? )
AN.FATU.2A	Fatu/rei	The stones on the lower edge of a fishing net	The stones on the lower edge of a fishing net
AN.FATU.2A	Fatu umu ti	The largest stones in a large native oven	( Dvs )
CE.FATU.4	Fatu	Lord (biblical), master, owner	( Lmt )
NP.FATUKE.*	Fetuʔe	Pencil sea urchin (whose blunt spines serve as a slate pencil) (Heterocentrotus mammillatus)	( Lmt )
MP.FAU.A	Fau	Old name for purau (still in use at ISV) (Hibiscus tiliaceus)	( Lmt )
MP.FAU.A	High	[Leeward Islands Dialect] Tree species (Hibiscus tiliaceus)	( Lmt )
PN.FAQU.2	Fau	A sort of head dress	A sort of head dress
MP.FAU-FAU	Faufau	Filth; disgusting, repugnant; baseness (moral sense); vile, repulsive	( Lmt )
CE.FEE.2	Hee	Caterpillar	( Lmt )
NP.FEA	Fea, hea	Locative or temporal interrogative word...	( Lmt )
FJ.FEFE.A	Fefe	Twisted, curved	( Lmt )
CE.FEEFEE	Feefee	Boil	( Lmt )
PN.FEGU	Fire	To snort, breathe short through the nose; to growl, as a dog, snarl, grumble	( Dvs )
PN.FEGU	Feʔu(feʔu)	Sob, sob	( Lmt )
EC.PUU.5	Puu feʔe	Head of an octopus	( Lmt )
PN.FEKE	Fairy	The cuttle fish	( Dvs )
PN.FEKE	Feʔe	Octopus, octopus	( Lmt )
PN.FEKE-FEKE	Feʔefeʔe	Elephantiasis	( Lmt )
CE.FEKII.B	Feeʔii	Banane de montagne (Musa fehi, M. troglodytarum)	(Lmt)
PN.FEKIKI	Feʔiʔi	Rancune, animosité; en vouloir to quelqu'un; jalousie, envieux	Rancune, animosité; en vouloir à quelqu'un; jalousie, envieux
PN.FELA	Mata fera	Yeux exorbités	Yeux exorbités
CE.FEREI.*	Ferei	An indecent mode of exhibiting the person in a Tahitian dance, applied to both sexes; exhibit, disclose, unfold	(Dvs)
PN.FENA	Fena/fena	Pas assez cuit	(Lmt)
NP.FENUQU.A*	Fenuû	The strand of a rope, the twisted cord of a net	The strand of a rope, the twisted cord of a net
NP.FENUQU.A*	Fenû motu	Broken strand or twisted cord	(Dvs)
NP.FENUA.*A	Fenua	Pays, terre (opposée to the mer, or to l’espace); terrain, sol; île haute (opposée to motu, île low, atoll)	Pays, terre (opposée à la mer, ou à l’espace); terrain, sol; île haute (opposée à motu, île basse, atoll)
FJ.FENUA.*D	Pupuhi fenua	Canon	(Lmt)
PN.FEO	Feo	Coraux morts, pointus et coupants qui se trouvent on the récif or to l’intérieur of the terres	Coraux morts, pointus et coupants qui se trouvent sur le récif ou à l’intérieur des terres
PN.FEO	Feo	A species of coral that irritates the skin when touched	(Dvs)
AN.FETUQU	Fetu	A star	(Dvs)
AN.FETUQU	Fetuu	Star of mer (Linckia pacifica) (peu usité)	Étoile de mer (Linckia pacifica) (peu usité)
AN.FETUQU	Fetiʔa	ÉtoilePhonologically Irregular	ÉtoilePhonologically Irregular
PN.FETUQU-QAHO	Fetiʔa po’ipo’i, feti’a tataiao	VénusProblematic	VénusProblematic
TA.FIA.*	Hia	Where? (Xxx)	(???)
PN.QAFII	Afi/fi	A bundle of bread-fruit or cocoanuts tied together	(Dvs)
CP.FIA-	Hia/umiti	To long, as for an absent relation; a longing desire for something not obtained	(Dvs)
NP.FIFI.2A	Fifi	Compliqué, embrouillé, difficile, dangereux; chaîne. Entangled, enslaved, intricate; to be involved in difficulties; a chain (Dvs).	Compliqué, embrouillé, difficile, dangereux; chaîne. Entangled, enslaved, intricate; to be involved in difficulties; a chain (Dvs).
